Country,Name,Artist,Listeners,Longitude,Latitude,longitude_offset,latitude_offset
Japan,道,宇多田ヒカル,13576,36.2048,138.2529,37.688167239229145,138.26448952794013
Japan,Smells Like Teen Spirit,Nirvana,3206072,36.2048,138.2529,35.40204594794332,137.96190036140453
Japan,First Love,宇多田ヒカル,80330,36.2048,138.2529,36.42295147355607,136.4171018538879
Japan,Bohemian Rhapsody,Queen,1839221,36.2048,138.2529,37.10097716224514,138.6975840518849
Indonesia,Yellow,Coldplay,2642867,-0.7893,113.9213,-0.8134844915373735,113.51604772903198
Indonesia,The Scientist,Coldplay,2306951,-0.7893,113.9213,0.2761167322453829,113.57220501796044
Indonesia,Somewhere Only We Know,Keane,1818045,-0.7893,113.9213,-1.9590014111898801,115.84489242926716
Indonesia,Fix You,Coldplay,2063808,-0.7893,113.9213,0.6348726325459845,113.18476176913836
Indonesia,Creep,Radiohead,2870305,-0.7893,113.9213,0.12836080922513504,114.74384467150301
Indonesia,Mr. Brightside,The Killers,3072882,-0.7893,113.9213,-1.3590886544720773,115.42956993949899
Indonesia,Untitled,MALIQ & D'Essentials,20776,-0.7893,113.9213,-1.1581347288436419,112.88807199094597
Indonesia,Photograph,Ed Sheeran,896998,-0.7893,113.9213,-1.5704270790511576,113.6522805116085
Indonesia,Kiss Me,Sixpence None the Richer,1334431,-0.7893,113.9213,-0.8453954849603719,113.87031512715208
Indonesia,Dan...,Sheila On 7,23037,-0.7893,113.9213,-1.1442834835768827,114.84084777841356
Saudi Arabia,Hello,Adele,820388,23.8859,45.0792,24.294205437806358,43.23576122780473
Saudi Arabia,Can't Feel My Face,The Weeknd,1322599,23.8859,45.0792,25.003947382375625,46.19279257471672
Saudi Arabia,Cheap Thrills,Sia,735624,23.8859,45.0792,24.390808720151902,43.77186110982266
Saudi Arabia,The Scientist,Coldplay,2306951,23.8859,45.0792,25.593191040497288,44.40926179529822
Saudi Arabia,Chandelier,Sia,1111682,23.8859,45.0792,25.205307162877418,46.52769469664785
Saudi Arabia,Shape of You,Ed Sheeran,951830,23.8859,45.0792,25.439920018871952,43.297870666455665
Saudi Arabia,Viva la Vida,Coldplay,2598238,23.8859,45.0792,24.540357788698884,44.028698729186786
Saudi Arabia,Fix You,Coldplay,2063808,23.8859,45.0792,25.150797991537996,44.90968218587964
Saudi Arabia,Mr. Brightside,The Killers,3072882,23.8859,45.0792,23.942431197168652,43.69344697517416
Saudi Arabia,Yellow,Coldplay,2642867,23.8859,45.0792,25.58673363512635,43.781552037902244
Turkey,Do I Wanna Know?,Arctic Monkeys,2128754,38.9637,35.2433,40.223190762259534,33.99672056896265
Turkey,Bir Derdim Var,Mor ve Ötesi,72143,38.9637,35.2433,38.74340087578485,36.52105125796092
Turkey,Creep,Radiohead,2870305,38.9637,35.2433,40.7145765743552,33.66075767360648
Turkey,Karma Police,Radiohead,2466252,38.9637,35.2433,37.14256865319517,33.59619749841473
Turkey,Teardrop,Massive Attack,1600282,38.9637,35.2433,37.122101589133436,34.81764785336634
Turkey,The Less I Know the Better,Tame Impala,1820269,38.9637,35.2433,38.78011551232682,35.49471960891387
Turkey,Cambaz,Mor ve Ötesi,56551,38.9637,35.2433,39.65642768861825,36.226220331376574
Turkey,Roads,Portishead,1045349,38.9637,35.2433,39.08867574934013,35.78672985595073
Turkey,Seven Nation Army,The White Stripes,2343189,38.9637,35.2433,40.14118721108499,34.23403522442906
Turkey,Take Me to Church,Hozier,1635024,38.9637,35.2433,37.65978386903239,36.29049798073102
Thailand,Yellow,Coldplay,2642867,15.87,100.9925,14.86934579442589,100.39831991106215
Thailand,Shape of You,Ed Sheeran,951830,15.87,100.9925,16.42075301834185,99.57342584079633
Thailand,The Scientist,Coldplay,2306951,15.87,100.9925,17.152836772197354,100.60266295862047
Thailand,Thinking Out Loud,Ed Sheeran,952337,15.87,100.9925,17.032138958187076,102.02922318667714
Thailand,Photograph,Ed Sheeran,896998,15.87,100.9925,15.170419233474215,102.26246154115755
Thailand,Creep,Radiohead,2870305,15.87,100.9925,15.846382886237922,102.80997433770698
Thailand,Hello,Adele,820388,15.87,100.9925,16.80328659135453,99.63918595677146
Thailand,Mr. Brightside,The Killers,3072882,15.87,100.9925,14.979953082802906,100.41333623893094
Thailand,Smells Like Teen Spirit,Nirvana,3206072,15.87,100.9925,15.065429051629517,101.86020010470979
Thailand,Somewhere Only We Know,Keane,1818045,15.87,100.9925,15.070720220626844,100.71762075399484
Malaysia,Yellow,Coldplay,2642867,4.2105,101.9758,2.925336635122476,100.0552636716115
Malaysia,The Scientist,Coldplay,2306951,4.2105,101.9758,6.076214875813344,100.04074656842539
Malaysia,Photograph,Ed Sheeran,896998,4.2105,101.9758,4.153532371617415,100.13498820549411
Malaysia,Mr. Brightside,The Killers,3072882,4.2105,101.9758,2.7835092318844885,101.0701028146739
Malaysia,In the End,Linkin Park,2311704,4.2105,101.9758,3.107508556417977,103.48277290574286
Malaysia,Somewhere Only We Know,Keane,1818045,4.2105,101.9758,2.278230362662398,101.47845752341543
Malaysia,Fix You,Coldplay,2063808,4.2105,101.9758,4.657647889557874,103.79645867534921
Malaysia,Viva la Vida,Coldplay,2598238,4.2105,101.9758,2.7635568760219558,102.73083179526671
Malaysia,Hello,Adele,820388,4.2105,101.9758,4.103232809104271,100.44661282763687
Malaysia,Creep,Radiohead,2870305,4.2105,101.9758,5.892393256805157,102.80937434040567
United States,Mr. Brightside,The Killers,3072882,37.0902,-95.7129,36.2262751278555,-97.24396321024277
United States,Float On,Modest Mouse,1511068,37.0902,-95.7129,38.74524598197183,-96.85492230497829
United States,The Less I Know the Better,Tame Impala,1820269,37.0902,-95.7129,38.159466038205466,-94.11408612304616
United States,Smells Like Teen Spirit,Nirvana,3206072,37.0902,-95.7129,36.0526566121234,-97.07133640446641
United States,Everybody Wants to Rule the World,Tears for Fears,1938938,37.0902,-95.7129,38.62295664435644,-97.18845595256754
United States,Can't Feel My Face,The Weeknd,1322599,37.0902,-95.7129,36.7496943476833,-97.47559104036439
United States,Everlong,Foo Fighters,2339983,37.0902,-95.7129,36.2074662855722,-96.14805459690568
United States,Seven Nation Army,The White Stripes,2343189,37.0902,-95.7129,37.090025787361334,-96.70495685220592
United States,The Middle,Jimmy Eat World,1581066,37.0902,-95.7129,36.2925134537369,-95.97768612746519
United States,Electric Feel,MGMT,2142858,37.0902,-95.7129,36.46274155191735,-96.05470451707532
Canada,Mr. Brightside,The Killers,3072882,56.1304,-106.3468,57.106671304927865,-106.80170008038884
Canada,Smells Like Teen Spirit,Nirvana,3206072,56.1304,-106.3468,54.926245758451806,-108.27367892538
Canada,Seven Nation Army,The White Stripes,2343189,56.1304,-106.3468,55.99566035452794,-107.6637476116497
Canada,The Less I Know the Better,Tame Impala,1820269,56.1304,-106.3468,58.03977187345674,-106.19645431209423
Canada,Karma Police,Radiohead,2466252,56.1304,-106.3468,54.73815846479574,-104.87627843808212
Canada,Creep,Radiohead,2870305,56.1304,-106.3468,55.011001068133446,-108.07246510548184
Canada,Can't Feel My Face,The Weeknd,1322599,56.1304,-106.3468,56.64476751687408,-104.51750455485733
Canada,Come as You Are,Nirvana,2829904,56.1304,-106.3468,56.41745656378352,-107.4576499782761
Canada,Feel Good Inc.,Gorillaz,2661048,56.1304,-106.3468,56.957315798809844,-106.28226734007485
Canada,Take on Me,a-ha,2148860,56.1304,-106.3468,56.68501588603451,-104.81217199619618
Mexico,Creep,Radiohead,2870305,23.6345,-102.5528,22.864073874688472,-101.47415124537508
Mexico,Seven Nation Army,The White Stripes,2343189,23.6345,-102.5528,21.979547493678265,-104.32347724208637
Mexico,Take Me Out,Franz Ferdinand,2363976,23.6345,-102.5528,25.579126647916965,-103.81332303820639
Mexico,Mr. Brightside,The Killers,3072882,23.6345,-102.5528,22.65757168754226,-104.2489600516634
Mexico,The Less I Know the Better,Tame Impala,1820269,23.6345,-102.5528,25.412511466757316,-101.44523785324013
Mexico,Reptilia,The Strokes,1919555,23.6345,-102.5528,23.071153237634626,-104.42100904134416
Mexico,Feel Good Inc.,Gorillaz,2661048,23.6345,-102.5528,22.832323290991166,-101.80336797493125
Mexico,Do I Wanna Know?,Arctic Monkeys,2128754,23.6345,-102.5528,24.09777701761036,-104.30951729874785
Mexico,Last Nite,The Strokes,1656955,23.6345,-102.5528,25.11648574614107,-102.87238614801072
Mexico,Take on Me,a-ha,2148860,23.6345,-102.5528,21.855312166265264,-104.33106505591287
Guatemala,Creep,Radiohead,2870305,15.7835,-90.2308,15.147586332761826,-89.517621919621
Guatemala,Losing My Religion,R.E.M.,1842134,15.7835,-90.2308,14.17132419575556,-90.49620477231245
Guatemala,Smells Like Teen Spirit,Nirvana,3206072,15.7835,-90.2308,13.998353118868208,-91.89162311507583
