Country,Name,Artist,Listeners,Longitude,Latitude
Guatemala,Smells Like Teen Spirit,Nirvana,3206072,15.7835,-90.2308
Guatemala,In the End,Linkin Park,2311704,15.7835,-90.2308
Guatemala,Take on Me,a-ha,2148860,15.7835,-90.2308
Guatemala,Seven Nation Army,The White Stripes,2343189,15.7835,-90.2308
Guatemala,Yellow,Coldplay,2642867,15.7835,-90.2308
Guatemala,Come as You Are,Nirvana,2829904,15.7835,-90.2308
Guatemala,Chop Suey!,System of a Down,2359479,15.7835,-90.2308
Guatemala,Mr. Brightside,The Killers,3072882,15.7835,-90.2308
Honduras,Yellow,Coldplay,2642867,15.2,-86.2419
Honduras,Creep,Radiohead,2870305,15.2,-86.2419
Honduras,Pumped Up Kicks,Foster the People,2194143,15.2,-86.2419
Honduras,Can't Feel My Face,The Weeknd,1322599,15.2,-86.2419
Honduras,Feel Good Inc.,Gorillaz,2661048,15.2,-86.2419
Honduras,Seven Nation Army,The White Stripes,2343189,15.2,-86.2419
Honduras,Do I Wanna Know?,Arctic Monkeys,2128754,15.2,-86.2419
Honduras,In the End,Linkin Park,2311704,15.2,-86.2419
Honduras,The Scientist,Coldplay,2306951,15.2,-86.2419
Honduras,One More Time,Daft Punk,1754637,15.2,-86.2419
Nicaragua,Take on Me,a-ha,2148860,12.8654,-85.2072
Nicaragua,The Scientist,Coldplay,2306951,12.8654,-85.2072
Nicaragua,Pumped Up Kicks,Foster the People,2194143,12.8654,-85.2072
Nicaragua,Take Me Out,Franz Ferdinand,2363976,12.8654,-85.2072
Nicaragua,The Less I Know the Better,Tame Impala,1820269,12.8654,-85.2072
Nicaragua,Sex on Fire,Kings of Leon,2169667,12.8654,-85.2072
Nicaragua,Everybody Wants to Rule the World,Tears for Fears,1938938,12.8654,-85.2072
Nicaragua,Seven Nation Army,The White Stripes,2343189,12.8654,-85.2072
Nicaragua,Every Breath You Take,The Police,1795526,12.8654,-85.2072
Nicaragua,Hello,Adele,820388,12.8654,-85.2072
Costa Rica,Creep,Radiohead,2870305,9.7489,-83.7534
Costa Rica,Losing My Religion,R.E.M.,1842134,9.7489,-83.7534
Costa Rica,Karma Police,Radiohead,2466252,9.7489,-83.7534
Costa Rica,Chop Suey!,System of a Down,2359479,9.7489,-83.7534
Costa Rica,Mr. Brightside,The Killers,3072882,9.7489,-83.7534
Costa Rica,Feel Good Inc.,Gorillaz,2661048,9.7489,-83.7534
Costa Rica,Take on Me,a-ha,2148860,9.7489,-83.7534
Costa Rica,Under the Bridge,Red Hot Chili Peppers,2211851,9.7489,-83.7534
Costa Rica,Everlong,Foo Fighters,2339983,9.7489,-83.7534
Costa Rica,Smells Like Teen Spirit,Nirvana,3206072,9.7489,-83.7534
Panama,In the End,Linkin Park,2311704,8.538,-80.7821
Panama,Smells Like Teen Spirit,Nirvana,3206072,8.538,-80.7821
Panama,Take on Me,a-ha,2148860,8.538,-80.7821
Panama,Chop Suey!,System of a Down,2359479,8.538,-80.7821
Panama,Creep,Radiohead,2870305,8.538,-80.7821
Panama,Mr. Brightside,The Killers,3072882,8.538,-80.7821
Panama,Come as You Are,Nirvana,2829904,8.538,-80.7821
Panama,Losing My Religion,R.E.M.,1842134,8.538,-80.7821
Panama,Zombie,The Cranberries,2012693,8.538,-80.7821
Panama,Sweet Child o' Mine,Guns N' Roses,2065128,8.538,-80.7821
Cuba,Blinding Lights,The Weeknd,1707888,21.5218,-77.7812
Cuba,Everlong,Foo Fighters,2339983,21.5218,-77.7812
Cuba,Smells Like Teen Spirit,Nirvana,3206072,21.5218,-77.7812
Cuba,Save Your Tears,The Weeknd,1286958,21.5218,-77.7812
Cuba,Everybody Wants to Rule the World,Tears for Fears,1938938,21.5218,-77.7812
Cuba,Take on Me,a-ha,2148860,21.5218,-77.7812
Cuba,Billie Jean,Michael Jackson,2228528,21.5218,-77.7812
Cuba,Losing My Religion,R.E.M.,1842134,21.5218,-77.7812
Cuba,Last Nite,The Strokes,1656955,21.5218,-77.7812
Cuba,Fortunate Son,Creedence Clearwater Revival,1674461,21.5218,-77.7812
Dominican Republic,Smells Like Teen Spirit,Nirvana,3206072,18.7357,-70.1627
Dominican Republic,Can't Feel My Face,The Weeknd,1322599,18.7357,-70.1627
Dominican Republic,Take on Me,a-ha,2148860,18.7357,-70.1627
Dominican Republic,Losing My Religion,R.E.M.,1842134,18.7357,-70.1627
Dominican Republic,Do I Wanna Know?,Arctic Monkeys,2128754,18.7357,-70.1627
Dominican Republic,Seven Nation Army,The White Stripes,2343189,18.7357,-70.1627
Dominican Republic,Creep,Radiohead,2870305,18.7357,-70.1627
Dominican Republic,Everybody Wants to Rule the World,Tears for Fears,1938938,18.7357,-70.1627
Dominican Republic,Mr. Brightside,The Killers,3072882,18.7357,-70.1627
Dominican Republic,Feel Good Inc.,Gorillaz,2661048,18.7357,-70.1627
Brazil,Do I Wanna Know?,Arctic Monkeys,2128754,-14.235,-51.9253
Brazil,Mr. Brightside,The Killers,3072882,-14.235,-51.9253
Brazil,Take on Me,a-ha,2148860,-14.235,-51.9253
Brazil,Losing My Religion,R.E.M.,1842134,-14.235,-51.9253
Brazil,Seven Nation Army,The White Stripes,2343189,-14.235,-51.9253
Brazil,R U Mine?,Arctic Monkeys,1652572,-14.235,-51.9253
Brazil,In the End,Linkin Park,2311704,-14.235,-51.9253
Brazil,Smells Like Teen Spirit,Nirvana,3206072,-14.235,-51.9253
Brazil,The Less I Know the Better,Tame Impala,1820269,-14.235,-51.9253
Brazil,Californication,Red Hot Chili Peppers,2364578,-14.235,-51.9253
Argentina,Creep,Radiohead,2870305,-38.4161,-63.6167
Argentina,Last Nite,The Strokes,1656955,-38.4161,-63.6167
Argentina,Karma Police,Radiohead,2466252,-38.4161,-63.6167
Argentina,Losing My Religion,R.E.M.,1842134,-38.4161,-63.6167
Argentina,Puente,Gustavo Cerati,138248,-38.4161,-63.6167
Argentina,Under the Bridge,Red Hot Chili Peppers,2211851,-38.4161,-63.6167
Argentina,Do I Wanna Know?,Arctic Monkeys,2128754,-38.4161,-63.6167
Argentina,Come as You Are,Nirvana,2829904,-38.4161,-63.6167
Argentina,Boys Don't Cry,The Cure,1717511,-38.4161,-63.6167
Argentina,Smells Like Teen Spirit,Nirvana,3206072,-38.4161,-63.6167
Colombia,Creep,Radiohead,2870305,4.5709,-74.2973
Colombia,Do I Wanna Know?,Arctic Monkeys,2128754,4.5709,-74.2973
Colombia,Losing My Religion,R.E.M.,1842134,4.5709,-74.2973
Colombia,Seven Nation Army,The White Stripes,2343189,4.5709,-74.2973
Colombia,Take Me Out,Franz Ferdinand,2363976,4.5709,-74.2973
Colombia,Last Nite,The Strokes,1656955,4.5709,-74.2973
Colombia,Smells Like Teen Spirit,Nirvana,3206072,4.5709,-74.2973
Colombia,Reptilia,The Strokes,1919555,4.5709,-74.2973
Colombia,Mr. Brightside,The Killers,3072882,4.5709,-74.2973
Colombia,Sex on Fire,Kings of Leon,2169667,4.5709,-74.2973
Chile,Creep,Radiohead,2870305,-35.6751,-71.543
Chile,Karma Police,Radiohead,2466252,-35.6751,-71.543
Chile,Last Nite,The Strokes,1656955,-35.6751,-71.543
Chile,The Less I Know the Better,Tame Impala,1820269,-35.6751,-71.543
Chile,Take Me Out,Franz Ferdinand,2363976,-35.6751,-71.543
Chile,Losing My Religion,R.E.M.,1842134,-35.6751,-71.543
Chile,Boys Don't Cry,The Cure,1717511,-35.6751,-71.543
Chile,Reptilia,The Strokes,1919555,-35.6751,-71.543
Chile,Estrechez De Corazón,Los Prisioneros,79911,-35.6751,-71.543
Chile,Do I Wanna Know?,Arctic Monkeys,2128754,-35.6751,-71.543
Peru,Creep,Radiohead,2870305,-9.19,-75.0152
Peru,Take Me Out,Franz Ferdinand,2363976,-9.19,-75.0152
Peru,Last Nite,The Strokes,1656955,-9.19,-75.0152
Peru,Take on Me,a-ha,2148860,-9.19,-75.0152
Peru,Losing My Religion,R.E.M.,1842134,-9.19,-75.0152
Peru,Mr. Brightside,The Killers,3072882,-9.19,-75.0152
Peru,Yellow,Coldplay,2642867,-9.19,-75.0152
Peru,The Less I Know the Better,Tame Impala,1820269,-9.19,-75.0152
Peru,Smells Like Teen Spirit,Nirvana,3206072,-9.19,-75.0152
Peru,The Scientist,Coldplay,2306951,-9.19,-75.0152
Venezuela,Creep,Radiohead,2870305,6.4238,-66.5897
Venezuela,In the End,Linkin Park,2311704,6.4238,-66.5897
Venezuela,Mr. Brightside,The Killers,3072882,6.4238,-66.5897
Venezuela,Smells Like Teen Spirit,Nirvana,3206072,6.4238,-66.5897
Venezuela,Seven Nation Army,The White Stripes,2343189,6.4238,-66.5897
Venezuela,Can't Feel My Face,The Weeknd,1322599,6.4238,-66.5897
Venezuela,Do I Wanna Know?,Arctic Monkeys,2128754,6.4238,-66.5897
Venezuela,Californication,Red Hot Chili Peppers,2364578,6.4238,-66.5897
Venezuela,Everlong,Foo Fighters,2339983,6.4238,-66.5897
Venezuela,Karma Police,Radiohead,2466252,6.4238,-66.5897
Ecuador,Under the Bridge,Red Hot Chili Peppers,2211851,-1.8312,-78.1834
Ecuador,Losing My Religion,R.E.M.,1842134,-1.8312,-78.1834
Ecuador,Creep,Radiohead,2870305,-1.8312,-78.1834
Ecuador,Seven Nation Army,The White Stripes,2343189,-1.8312,-78.1834
Ecuador,Take on Me,a-ha,2148860,-1.8312,-78.1834
Ecuador,The Scientist,Coldplay,2306951,-1.8312,-78.1834
