Country,Longitude,Latitude,Artist,Listeners,longitude_offset,latitude_offset
Belgium,50.5039,4.4699,The Rolling Stones,5025373,51.51185443378206,2.89979547277523
Belgium,50.5039,4.4699,Fleetwood Mac,3704944,49.64436797848148,4.91801078720968
Belgium,50.5039,4.4699,Daft Punk,5226051,49.8047483669508,4.651335842303398
Belgium,50.5039,4.4699,Red Hot Chili Peppers,6036073,51.786473418151296,3.515738102675726
Belgium,50.5039,4.4699,Nirvana,6095792,51.6869538216102,2.9028212320436304
China,35.8617,104.1954,Coldplay,7483430,37.27299997154266,105.05937645527708
China,35.8617,104.1954,Adele,4574218,35.108425281953856,105.5985346853626
China,35.8617,104.1954,Taylor Swift,4689314,36.988371953006215,105.49927119840316
China,35.8617,104.1954,Ed Sheeran,3323699,37.58398554994908,102.27949866233438
China,35.8617,104.1954,Maroon 5,5305919,37.600329199688154,103.53079759139933
China,35.8617,104.1954,Rihanna,6777743,34.273968104925224,105.86181601388547
China,35.8617,104.1954,The Weeknd,3979631,34.97913902431061,106.07662834877623
China,35.8617,104.1954,Lana Del Rey,4089352,34.44005868043582,103.38556896905962
China,35.8617,104.1954,Lady Gaga,5909551,34.0659191641211,102.26619622027887
China,35.8617,104.1954,Sia,3515677,37.800544733314474,103.14506031039693
India,20.5937,78.9629,Coldplay,7483430,21.973914419998202,77.49167642303344
India,20.5937,78.9629,Pink Floyd,4426284,20.112153075315103,79.87585443959259
India,20.5937,78.9629,Ed Sheeran,3323699,20.234116446084148,80.05771091648187
India,20.5937,78.9629,The Weeknd,3979631,22.54904966014849,79.07470571372153
India,20.5937,78.9629,A.R. Rahman,601891,19.41118629500631,79.70580059334434
India,20.5937,78.9629,The Beatles,5334045,21.61257893066262,79.76942537224477
India,20.5937,78.9629,Led Zeppelin,4023954,21.215314463420512,78.18374357234812
India,20.5937,78.9629,Radiohead,6589277,21.181274086008536,80.81589051925387
India,20.5937,78.9629,Linkin Park,5427114,20.67447673530682,78.76801047780367
India,20.5937,78.9629,Queen,5891543,18.972136349147924,79.44224746141343
Japan,36.2048,138.2529,宇多田ヒカル,408518,37.38572583073754,139.6374567043437
Japan,36.2048,138.2529,The Beatles,5334045,35.639940647987444,137.61977111779717
Japan,36.2048,138.2529,Perfume,355481,35.42382467876787,137.86416942669004
Japan,36.2048,138.2529,椎名林檎,166407,37.173654691597676,137.87292295891703
Japan,36.2048,138.2529,スピッツ,102325,35.88905133688307,136.4061445590492
Japan,36.2048,138.2529,Radiohead,6589277,37.10117322704424,136.36197233841355
Japan,36.2048,138.2529,サカナクション,63307,38.020520811363944,136.34517222515532
Japan,36.2048,138.2529,ASIAN KUNG-FU GENERATION,513920,36.15155181650984,138.25644232537
Japan,36.2048,138.2529,くるり,82778,36.749247113876685,137.59521912468034
Japan,36.2048,138.2529,Queen,5891543,36.24281784472452,136.89221709735247
Indonesia,-0.7893,113.9213,Coldplay,7483430,0.32385386258102133,113.27597195945883
Indonesia,-0.7893,113.9213,Maroon 5,5305919,-0.3050126182726741,115.84401362557601
Indonesia,-0.7893,113.9213,Ed Sheeran,3323699,0.31607961807648743,115.52318952240407
Indonesia,-0.7893,113.9213,Adele,4574218,-1.2338859999406466,115.76863878284527
Indonesia,-0.7893,113.9213,Radiohead,6589277,-0.9390490703419904,113.85103250559531
Indonesia,-0.7893,113.9213,John Mayer,3229430,0.7111823431940721,115.47495140616874
Indonesia,-0.7893,113.9213,Oasis,4745016,-2.137983395713263,115.61683055662785
Indonesia,-0.7893,113.9213,The Beatles,5334045,-2.2529592323700487,114.31881983682294
Indonesia,-0.7893,113.9213,Bruno Mars,3930085,-1.3075382304382974,113.11465513888834
Indonesia,-0.7893,113.9213,Arctic Monkeys,5680270,0.8786177962748501,114.34888008214703
Saudi Arabia,23.8859,45.0792,Coldplay,7483430,23.643138046560004,43.78741357774411
Saudi Arabia,23.8859,45.0792,Adele,4574218,24.162571726921026,45.43760921928736
Saudi Arabia,23.8859,45.0792,The Weeknd,3979631,24.093194394307567,45.60777321483601
Saudi Arabia,23.8859,45.0792,Ed Sheeran,3323699,25.831337283620808,46.95504383494957
Saudi Arabia,23.8859,45.0792,Rihanna,6777743,25.59812272811078,44.52301562885068
Saudi Arabia,23.8859,45.0792,Sia,3515677,22.10606860257293,45.858580723904055
Saudi Arabia,23.8859,45.0792,Lana Del Rey,4089352,24.742690770574924,46.680216894300145
Saudi Arabia,23.8859,45.0792,Drake,5588059,24.95229330337682,45.061728498556505
Saudi Arabia,23.8859,45.0792,Maroon 5,5305919,25.876467297233084,45.42138826533694
Saudi Arabia,23.8859,45.0792,Radiohead,6589277,23.26348890018992,44.651730075311846
Turkey,38.9637,35.2433,Radiohead,6589277,40.8028968806895,34.679358844537944
Turkey,38.9637,35.2433,Coldplay,7483430,37.85757078675548,33.98317093704533
Turkey,38.9637,35.2433,Queen,5891543,37.28598603012728,33.41598547335177
Turkey,38.9637,35.2433,Pink Floyd,4426284,39.67260711682382,34.34055406839199
Turkey,38.9637,35.2433,Daft Punk,5226051,37.09753333523956,36.763247603711015
Turkey,38.9637,35.2433,Sia,3515677,37.013700548555015,35.10624635991471
Turkey,38.9637,35.2433,Arctic Monkeys,5680270,40.65852429667256,33.64757268942931
Turkey,38.9637,35.2433,The Weeknd,3979631,38.34811721795365,37.08355584046388
Turkey,38.9637,35.2433,David Bowie,4621259,37.49798173951816,37.2038213007407
Turkey,38.9637,35.2433,Red Hot Chili Peppers,6036073,37.781468150218956,34.09373606554274
Thailand,15.87,100.9925,Coldplay,7483430,17.130455534998255,101.13911049148166
Thailand,15.87,100.9925,Ed Sheeran,3323699,17.336140822354523,100.95538770649837
Thailand,15.87,100.9925,Maroon 5,5305919,14.378302457883606,101.92558343207044
Thailand,15.87,100.9925,Adele,4574218,16.79159098534053,101.52718886193362
Thailand,15.87,100.9925,The Weeknd,3979631,14.780890791646096,100.93754872832858
Thailand,15.87,100.9925,Taylor Swift,4689314,15.528230612296685,99.18967171905159
Thailand,15.87,100.9925,Radiohead,6589277,17.701027883652774,99.11929779469052
Thailand,15.87,100.9925,Calvin Harris,3970548,15.649999761553188,100.70769449772646
Thailand,15.87,100.9925,Sia,3515677,14.447493474173907,100.00804218328155
Thailand,15.87,100.9925,Sam Smith,2461797,16.460274177827525,99.25531968960027
Malaysia,4.2105,101.9758,Coldplay,7483430,5.2525660028288526,100.68413894716035
Malaysia,4.2105,101.9758,Ed Sheeran,3323699,4.660151461957504,101.52775432779816
Malaysia,4.2105,101.9758,Maroon 5,5305919,6.065938383466068,100.73448301418561
Malaysia,4.2105,101.9758,The Weeknd,3979631,5.040072869338319,102.45676008168745
Malaysia,4.2105,101.9758,Adele,4574218,3.1386588341271393,103.75151225969255
Malaysia,4.2105,101.9758,Rihanna,6777743,3.268619283224392,103.74227824654508
Malaysia,4.2105,101.9758,Radiohead,6589277,5.616890110403837,100.34949505895214
Malaysia,4.2105,101.9758,Sam Smith,2461797,5.64222770164794,103.69734719428676
Malaysia,4.2105,101.9758,Justin Bieber,3545511,5.430117509934081,101.86883736831044
Malaysia,4.2105,101.9758,Calvin Harris,3970548,3.21680675337912,100.58850521592632
United States,37.0902,-95.7129,Radiohead,6589277,36.39813672910684,-96.5157338344942
United States,37.0902,-95.7129,David Bowie,4621259,39.04772267736824,-94.48691512306728
United States,37.0902,-95.7129,The Beatles,5334045,36.89262244406146,-97.67949556811482
United States,37.0902,-95.7129,The Weeknd,3979631,37.67309922772987,-94.41333328740323
